terme,definition,reference,exclusions,langue,doc_id,modele,nom_scientifique,exchanges
Fishing and Operations Branch,Sous-division de l'industrie de la pêche et des opérations,Introduction,,fr,I001,qwen3-8b,,
Fao Fisheries Circular 280,Circulaire sur les pêches 280,Introduction,,fr,I001,qwen3-8b,,
Fisheries Technical Paper No. 222/ Rev.1,"Document technique de la FAO sur les pêches, nº 222, rév.1",Introduction,,fr,I001,qwen3-8b,,
Nédélec et Prado,Auteurs de la publication de 1990,Introduction,,fr,I001,qwen3-8b,,
filets tournants,Filets tournants avec coulisse,Tableau 1,,fr,I001,qwen3-8b,,
filets tournants avec coulisse,PS,Tableau 1,,fr,I001,qwen3-8b,,
filets tournants sans coulisse,LA,Tableau 1,,fr,I001,qwen3-8b,,
filets tournants (non spécifiés),SUX,Tableau 1,,fr,I001,qwen3-8b,,
sennes,Sennes de plage,Tableau 1,,fr,I001,qwen3-8b,,
sennes de plage,SB,Tableau 1,,fr,I001,qwen3-8b,,
sennes halées à bord,SV,Tableau 1,,fr,I001,qwen3-8b,,
sennes (non spécifiées),SX,Tableau 1,,fr,I001,qwen3-8b,,
chaluts,Chaluts à perche,Tableau 1,,fr,I001,qwen3-8b,,
chaluts à perche,TBB,Tableau 1,,fr,I001,qwen3-8b,,
chaluts de fond à panneau,03.11,Tableau 1,,fr,I001,qwen3-8b,,
Chaluts jumeaux à panneaux,OTB 03.12,03.12,,fr,I001,qwen3-8b,,
Chaluts de fond à panneaux multiples,OTP 03.14,03.14,,fr,I001,qwen3-8b,,
Chaluts-bœufs de fond,PTB 03.15,03.15,,fr,I001,qwen3-8b,,
Chaluts de fond (non spécifiés),TB 03.19,03.19,,fr,I001,qwen3-8b,,
Chaluts pélagiques à panneaux,OTM 03.21,03.21,,fr,I001,qwen3-8b,,
Chaluts-bœufs pélagiques,PTM 03.22,03.22,,fr,I001,qwen3-8b,,
Chaluts pélagiques (non spécifiés),TM 03.29,03.29,,fr,I001,qwen3-8b,,
Chaluts semi-pélagiques,TSP 03.3,03.3,,fr,I001,qwen3-8b,,
Chaluts (non spécifiés),TX 03.9,03.9,,fr,I001,qwen3-8b,,
Dragues remorquées par bateau,DRB 04.1,04.1,,fr,I001,qwen3-8b,,
Dragues à main,DRH 04.2,04.2,,fr,I001,qwen3-8b,,
Dragues mécanisées,DRM 04.3,04.3,,fr,I001,qwen3-8b,,
Dragues (non spécifiées),DRX 04.9,04.9,,fr,I001,qwen3-8b,,
Filets soulevés portatifs,LNP 05.1,05.1,,fr,I001,qwen3-8b,,
Filets soulevés manœuvrés du bateau,LNB 05.2,05.2,,fr,I001,qwen3-8b,,
Filets soulevés fixes manœuvrés du,LNS 05.3,05.3,,fr,I001,qwen3-8b,,
Filets soulevés (non spécifiés),LN 05.9,05.9,,fr,I001,qwen3-8b,,
Éperviers,FCN 06.1,06.1,,fr,I001,qwen3-8b,,
Paniers coiffants/Filets lanternes,FCO 06.2,06.2,,fr,I001,qwen3-8b,,
Engins retombants (non spécifiés),FG 06.9,06.9,,fr,I001,qwen3-8b,,
Filets maillants calés (ancrés),GNS 07.1,07.1,,fr,I001,qwen3-8b,,
Filets maillants dérivants,GND 07.2,07.2,,fr,I001,qwen3-8b,,
Filets maillants encerclants,GNC 07.3,07.3,,fr,I001,qwen3-8b,,
Filets maillants fixes (sur perches),GNF 07.4,07.4,,fr,I001,qwen3-8b,,
Trémails,GTR 07.5,07.5,,fr,I001,qwen3-8b,,
Trémails et filets maillants combinés,GTN 07.6,07.6,,fr,I001,qwen3-8b,,
Filets maillants et filets emmêlants,GEN 07.9,07.9,,fr,I001,qwen3-8b,,
Filets-pièges fixes non couverts,FPN 08.1,08.1,,fr,I001,qwen3-8b,,
Nasses (casiers),FPO 08.2,08.2,,fr,I001,qwen3-8b,,
Verveux,FYK 08.3,08.3,,fr,I001,qwen3-8b,,
Filets à l'étalage (diables),FSN 08.4,08.4,,fr,I001,qwen3-8b,,
"Barrages, parcs, bordigues, etc.",FWR 08.5,08.5,,fr,I001,qwen3-8b,,
Pièges aériens,FAR 08.6,08.6,,fr,I001,qwen3-8b,,
Pièges (non spécifiés),FIX 08.9,08.9,,fr,I001,qwen3-8b,,
Lignes à main et lignes à cannes (manœuvrées à la main),LHP 09.1,09.1,,fr,I001,qwen3-8b,,
Lignes à main et lignes à cannes (mécanisées),LHM 09.2,09.2,,fr,I001,qwen3-8b,,
Palangres calées,LLS 09.31,09.31,,fr,I001,qwen3-8b,,
Palangres dérivantes,LLD 09.32,09.32,,fr,I001,qwen3-8b,,
Palangres (non spécifiées),LL 09.39,09.39,,fr,I001,qwen3-8b,,
Lignes verticales,LVT 09.4,09.4,,fr,I001,qwen3-8b,,
Lignes de traîne,LTL 09.5,09.5,,fr,I001,qwen3-8b,,
Lignes et hameçons (non spécifiés),LX 09.9,09.9,,fr,I001,qwen3-8b,,
Harpons,HAR 10.1,10.1,,fr,I001,qwen3-8b,,
"Engins à main (pinces, râteaux, lances)",MHI 10.2,10.2,,fr,I001,qwen3-8b,,
Pompes,MPM 10.3,10.3,,fr,I001,qwen3-8b,,
Pêche électrique,MEL 10.4,10.4,,fr,I001,qwen3-8b,,
Pousseux/Troubles,MPN 10.5,10.5,,fr,I001,qwen3-8b,,
Épuisettes/Salabardes,MSP 10.6,10.6,,fr,I001,qwen3-8b,,
Filets de rabattage,MDR 10.7,10.7,,fr,I001,qwen3-8b,,
Plongée,MDV 10.8,10.8,,fr,I001,qwen3-8b,,
Engins (non spécifiés),MIS 10.9,10.9,,fr,I001,qwen3-8b,,
toothed whale,any whale which has teeth in the jaws.,1. A. Baleen whales,,en,I002,qwen3-8b,,
beaked whale,"any whale belonging to the genus Mesoplodon, or any whale known as Cuvier’s beaked whale (Ziphius cavirostris), or Shepherd’s beaked whale (Tasmacetus shepherdi).",1. A. Baleen whales,,en,I002,qwen3-8b,,
baleen whale,"any whale which has baleen or bone in the mouth, i.e. any whale other than a toothed whale.",1. A. Baleen whales,,en,I002,qwen3-8b,,
bottlenose whale,"any whale known as Baird’s beaked whale (Berardius bairdii), Arnoux’s whale (Berardius arnuxii), southern bottlenose whale (Hyperoodon planifrons), or northern bottlenose whale (Hyperoodon ampullatus).",1. A. Baleen whales,,en,I002,qwen3-8b,,
blue whale,"any whale known as blue whale, Sibbald’s rorqual, or sulphur bottom and including pygmy blue whale.",1. A. Baleen whales,,en,I002,qwen3-8b,,
bowhead whale,"any whale known as bowhead, Arctic right whale, great polar whale, Greenland right whale, Greenland whale.",1. A. Baleen whales,,en,I002,qwen3-8b,,
killer whale,any whale known as killer whale or orca.,1. A. Baleen whales,,en,I002,qwen3-8b,,
pilot whale,any whale known as long-finned pilot whale (Globicephala melaena) or short-finned pilot whale (G. macrorhynchus).,1. A. Baleen whales,,en,I002,qwen3-8b,,
Bryde’s whale,any whale known as Bryde’s whale.,1. A. Baleen whales,,en,I002,qwen3-8b,,
fin whale,"any whale known as common finback, common rorqual, fin whale, herring whale, or true fin whale.",1. A. Baleen whales,,en,I002,qwen3-8b,,
sperm whale,"any whale known as sperm whale, spermacet whale, cachalot or pot whale.",1. A. Baleen whales,,en,I002,qwen3-8b,,
gray whale,"any whale known as gray whale, California gray, devil fish, hard head, mussel digger, gray back, or rip sack.",1. A. Baleen whales,,en,I002,qwen3-8b,,
strike,to penetrate with a weapon used for whaling.,C. General,,en,I002,qwen3-8b,,
humpback whale,"any whale known as bunch, humpback, humpback whale, humpbacked whale, hump whale or hunchbacked whale.",C. General,,en,I002,qwen3-8b,,
take,"to flag, buoy or make fast to a whale catcher.",C. General,,en,I002,qwen3-8b,,
minke whale,"any whale known as lesser rorqual, little piked whale, minke whale, pike-headed whale or sharp headed finner.",C. General,,en,I002,qwen3-8b,,
lose,to either strike or take but not to land.,C. General,,en,I002,qwen3-8b,,
dauhval,any unclaimed dead whale found floating.,C. General,,en,I002,qwen3-8b,,
pygmy right whale,any whale known as southern pygmy right whale or pygmy right whale.,C. General,,en,I002,qwen3-8b,,
lactating whale,"(a) with respect to baleen whales - a female which has any milk present in a mammary gland, (b) with respect to sperm whales - a female which has milk",C. General,,en,I002,qwen3-8b,,
right whale,"(Eubalaena glacialis, E. australis) means present in a mammary gland the maximum thickness (depth) any whale known as Atlantic right whale, Arctic right whale, of which is 10cm or more. This measurement shall be at the Biscayan right whale, Nordkaper, North Atlantic right mid ventral point of the mammary gland perpendicular to whale, North Cape whale, Pacific right whale, or southern the body axis, and shall be logged to the nearest centimetre; right whale. that is to say, any gland between 9.5cm and 10.5cm shall",Rule 1,,en,I002,qwen3-8b,"(Eubalaena glacialis, E. australis)",
sei whale,"(Balaenoptera borealis) means any whale known as sei whale, Rudolphi’s rorqual, pollack whale, or coalfish whale.",Rule 1,,en,I002,qwen3-8b,(Balaenoptera borealis),
small-type whaling,"catching operations using powered vessels with mounted harpoon guns hunting all land stations under its jurisdiction, and whale catchers attached to such land stations, one open season during which the taking or killing of baleen whales, except minke whales, by the whale catchers shall be permitted. Such open season shall be for a period of not more than six consecutive months in any period of twelve months and shall apply to all land stations under the jurisdiction of the Contracting Government; provided that a separate open season may be declared for any land station used for the taking or treating of baleen whales, except minke whales, which is more than 1,000 miles from the nearest land station used for the taking or treating of baleen whales, except minke whales, under the jurisdiction of the same Contracting Government.",II. SEASONS,,en,I002,qwen3-8b,,
factory ship,"It is forbidden to use a factory ship or whale catcher attached thereto for the purpose of taking or treating baleen whales except minke whales, in any waters south of 40° South Latitude except during the period from 12th December to 7th April following, both days inclusive.",2. (a),,en,I002,qwen3-8b,,
whale catcher,"It is forbidden to use a factory ship or whale catcher attached thereto for the purpose of taking or treating sperm or minke whales, except as permitted by the Contracting Governments in accordance with sub-paragraphs (c) and (d) of this paragraph, and paragraph 5.",2. (a),,en,I002,qwen3-8b,,
open season,"Each Contracting Government shall declare for all land stations under its jurisdiction and for whale catchers attached to such land stations, one open season not to exceed eight continuous months in any one period of twelve months, during which the taking or killing of sperm whales by the whale catchers may be permitted; provided that a separate open season may be declared for each factory ship and the whale catchers attached thereto.",(c),,en,I002,qwen3-8b,,
factory ships and whale catchers,"Each Contracting Government shall declare for all factory ships and whale catchers attached thereto under its jurisdiction, an open season or seasons not to exceed eight months out of any period of twelve months during which the taking or killing of sperm whales by whale catchers may be permitted; provided that a separate open season may be declared for each factory ship and the whale catchers attached thereto.",(d),,en,I002,qwen3-8b,,
open season,"one continuous open season season not to exceed six continuous months in not to exceed six months out of any period of any period of twelve months during which the taking or killing of minke whales by the whale catchers may be permitted provided that: for other baleen whales, as provided for in sub-paragraph (b) of this paragraph); provided that a separate open season may be declared for each factory ship and the whale catchers attached thereto;",Article 3 / Rule 1,,en,I002,qwen3-8b,,
factory ship,"a ship which has been used during a season in any waters south of 40° South Latitude for the purpose of treating baleen whales, or except minke whales, in any other area except the North Pacific Ocean and its dependent waters north of the Equator for the same purpose within a period of one year from the termination of that season; provided that limits in the North Pacific Ocean and dependent waters are established as provided in paragraphs 12 and 16 of this Schedule and provided that this paragraph shall not apply to a ship which has been used during the seasons declared by the same Contracting Government; but the declaration of a separate open season by virtue of the provisions of this sub-paragraph shall not cause thereby the period of time covering the open season to exceed nine continuous months of any twelve months.",,,en,I002,qwen3-8b,,
land stations,all land stations as defined in Article II of the Whaling Convention of 1946.,Article 3 / Rule 1,,en,I002,qwen3-8b,,
separate open season,"a separate open season may be declared for any land station used for the taking or treating of minke whales which is more than 1,000 miles from the nearest land station used for the taking or treating of minke whales under the jurisdiction of the same Contracting Government; but the declaration of a separate open season by virtue of the provisions of this sub-paragraph shall not cause thereby the period of time covering the open season to exceed nine continuous months of any twelve months.",,,en,I002,qwen3-8b,,
Contracting Government,the Contracting Government to which the land station belongs.,,,en,I002,qwen3-8b,,
prohibitions,the prohibitions contained in this paragraph shall apply to all land stations as defined in Article II of the Whaling Convention of 1946.,Article 3 / Rule 1,,en,I002,qwen3-8b,,
Commission,the Commission to be determined by the Commission.,,,en,I002,qwen3-8b,,
open season,the open season to be determined by the Commission.,Article 3 / Rule 1,,en,I002,qwen3-8b,,
period of time,the period of time covering the open season to be determined by the Commission.,Article 3 / Rule 1,,en,I002,qwen3-8b,,
whale catchers,whale catchers under its jurisdiction not operating in conjunction with a factory ship or land station one,Area Limits for Factory Ships,,en,I002,qwen3-8b,,
continuous open seasons,continuous open seasons not to exceed six months out of any period of twelve months during which the taking or killing of minke whales by such whale catchers may be permitted,Area Limits for Factory Ships,,en,I002,qwen3-8b,,
factory ship,"factory ship or whale catcher attached thereto, for the purpose of taking or treating",Area Limits for Factory Ships,,en,I002,qwen3-8b,,
baleen whales,"baleen whales, except minke whales, in any of the following areas:",Area Limits for Factory Ships,,en,I002,qwen3-8b,,
minke whales,minke whales using the cold grenade harpoon shall be forbidden from the beginning of the 1980/81 pelagic and 1981 coastal seasons,Area Limits for Factory Ships,,en,I002,qwen3-8b,,
commercial whaling,"killing for commercial purposes of whales, except minke whales using the cold grenade harpoon shall be forbidden from the beginning of the 1980/81 pelagic and 1981 coastal seasons",Area Limits for Factory Ships,,en,I002,qwen3-8b,,
cold grenade harpoon,killing for commercial purposes of minke whales using the cold grenade harpoon shall be forbidden from the beginning of the 1982/83 pelagic and the 1983 coastal seasons,Area Limits for Factory Ships,,en,I002,qwen3-8b,,
Southern Hemisphere baleen whales,waters between the ice-edge and the Equator and between the meridians of longitude listed in Table 1,Classification of Areas and Divisions,,en,I002,qwen3-8b,,
Indian Ocean Sanctuary,"waters of the Northern Hemisphere from the coast of Africa to 100°E, including the Red and Arabian Seas and the Gulf of Oman; and the waters of the Southern Hemisphere in the sector from 20°E to 130°E, with the Southern boundary set at 55°S",Classification of Areas and Divisions,,en,I002,qwen3-8b,,
Southern Hemisphere sperm whales,waters between the ice-edge and the Equator and between the meridian,Classification of Areas and Divisions,,en,I002,qwen3-8b,,
Southern Ocean Sanctuary,"the waters of the Southern Hemisphere southwards of the following line: starting from 40 degrees S, 50 degrees W; thence due east to 20 degrees E; thence due south to 55 degrees S; thence due east to 130 degrees E; thence due north to 40 degrees S; thence due east to 130 degrees W; thence due south to 60 degrees S; thence due east to 50 degrees W; thence due north to the point of beginning.",Article V(1)(c),,en,I002,qwen3-8b,,
East Greenland-Iceland,"Geographical boundaries in the North Pacific East of a line through: The geographical boundaries for the sperm, Bryde’s kap Farvel (South Greenland), and minke whale stocks in the North Pacific are: 59°N 44°W, 59°N 42°W, 20°N 42°W, and West of a line through: 20°N 18°W, 60°N 18°W, 68°N 3°E, SPERM WHALE STOCKS 74°N 3°E, and South of 74°N.",Article X / Rule Y / §Z,,en,I002,qwen3-8b,,
Western Division,"North Norway West of a line from the ice-edge south along the 180° meridian of longitude to 180°, 50°N, then east along the 50°N parallel of latitude to 160°W, 50°N, then south along the 160°W meridian of longitude to 160°W, 40°N, then east along the 40°N parallel of latitude to 150°W, 40°N, then south along the 150°W meridian of longitude to the Equator.",Article X / Rule Y / §Z,,en,I002,qwen3-8b,,
Western,West of 160°W (excluding the East China Sea stock area).,Article X / Rule Y / §Z,,en,I002,qwen3-8b,,
Minke Whale Stocks,"CANADIAN EAST COAST West of a line through: 75°N 73°30’W, 69°N 59°W, 61°N 59°W, 52°20’N 42°W, and 20°N 42°W. CENTRAL of the Equator. East of a line through: Kap Farvel (South Greenland), 59°N 44°W, 59°N 42°W, 20°N 42°W, and West of a line through: 20°N 18°W, 60°N 18°W, 68°N 3°E, 74°N 3°E, and South of 74°N. REMAINDER East of the Okhotsk Sea-West Pacific stock, north of the Equator.",Article X / Rule Y / §Z,,en,I002,qwen3-8b,,
West Greenland,"East of a line through: 75°N 73°30’W, 69°N 59°W, 61°N 59°W, 52°20’N 42°W, and (e) Geographical boundaries for Bryde’s whale stocks in the Southern Hemisphere South of the Equator. East of a line through: 20°N 18°W, 60°N 18°W, 68°N 3°E, 74°N 3°E, and North of a line through: 74°N 3°E, 74°N 22°W.",Article X / Rule Y / §Z,,en,I002,qwen3-8b,,
Peruvian,110°W to t,Article X / Rule Y / §Z,,en,I002,qwen3-8b,,
SMS,is a stock which is not more than 10 per cent of Maximum Sustainable Yield (hereinafter referred to as MSY) stock level.,10. (a),,en,I002,qwen3-8b,,
MSY,Maximum Sustainable Yield,10. (a),,en,I002,qwen3-8b,,
PS,is a stock which is below 10 per cent of MSY stock level below MSY stock level.,10. (c),,en,I002,qwen3-8b,,
MSY,the maximum sustainable yield,paragraph 10,,en,I002,qwen3-8b,,
Initial Management Stock (IMS),a stock more than 20 per cent of MSY stock level above,paragraph 10(b),,en,I002,qwen3-8b,,
commercial whaling,killing for commercial purposes of whales from all stocks for the 1986,paragraph 10,,en,I002,qwen3-8b,,
moratorium,"there shall be a moratorium on the taking,",paragraph 10,,en,I002,qwen3-8b,,
factory ships,factory ships or whale catchers attached to,paragraph 10,,en,I002,qwen3-8b,,
whale catchers,factory ships or whale catchers attached to,paragraph 10,,en,I002,qwen3-8b,,
commercial pelagic whaling,commercial pelagic whaling for minke and Bryde’s whales,paragraph 10,,en,I002,qwen3-8b,,
commercial coastal whaling,commercial coastal whaling for minke and Bryde’s whales,paragraph 10,,en,I002,qwen3-8b,,
commercial coastal sperm whaling,commercial coastal sperm whaling,paragraph 10,,en,I002,qwen3-8b,,
scientific advice,best scientific advice,paragraph 10,,en,I002,qwen3-8b,,
comprehensive assessment,comprehensive assessment of the effects of this decision on whale stocks and,paragraph 10,,en,I002,qwen3-8b,,
modification of this provision,modification of this provision and the establishment of other catch limits,paragraph 10,,en,I002,qwen3-8b,,
objection,objection to paragraph 10(e) within the prescribed period,paragraph 10,,en,I002,qwen3-8b,,
reservation,reservation with respect to paragraph 10(e) of the Schedule attached to the Convention,paragraph 10,,en,I002,qwen3-8b,,
adherence,adheres to the aforesaid Convention and Protocol with a reservation with respect to paragraph 10(e) of the Schedule attached to the Convention,paragraph 10,,en,I002,qwen3-8b,,
authorise whaling,"will not authorise whaling for commercial purposes by Icelandic vessels before 2006 and, thereafter, will not authorise such whaling",paragraph 10,,en,I002,qwen3-8b,,
RMS,"the so-called moratorium on whaling for commercial purposes, contained in paragraph 10(e) of the Schedule",paragraph 10(e) of the Schedule,,en,I002,qwen3-8b,,
aborigines,available to be taken by aborigines or a Contracting Government on behalf of aborigines pursuant to paragraph 13(b)2,paragraph 13(b)2,,en,I002,qwen3-8b,,
Contracting Government,available to be taken by aborigines or a Contracting Government on behalf of aborigines pursuant to paragraph 13(b)2,paragraph 13(b)2,,en,I002,qwen3-8b,,
Norway,the Government of Norway,,this classification came into force on 30 January 1986 but is not binding on the Government of Norway,en,I002,qwen3-8b,,
Protection Stock,the classification of the Northeastern Atlantic stock of minke whales as a Protection Stock,,this classification came into force on 30 January 1986 but is not binding on the Government of Norway,en,I002,qwen3-8b,,
Northeastern Atlantic stock of minke whales,the classification of the Northeastern Atlantic stock of minke whales as a Protection Stock,,this classification came into force on 30 January 1986 but is not binding on the Government of Norway,en,I002,qwen3-8b,,
paragraph 10(e),the so-called moratorium on whaling for commercial purposes,paragraph 10(e) of the Schedule,,en,I002,qwen3-8b,,
